algo,run_name,eval_mean_reward,eval_std_reward,eval_callback_mean,eval_callback_std,training_walltime_sec
A2C,run_01,110.162499875,50.61071577288157,86.766666625,48.64480955961969,756.050851500011
A2C,run_03,102.075000125,46.941209509468386,52.479166625000005,38.95057027022894,715.1821787999943
A2C,run_09,88.69583324999999,60.727328624208724,-28.895833375,27.251409165711298,1101.9494512999663
DQN,run_08,189.7375,44.91563226363029,146.441666625,59.24818966217567,1097.3827444000635
DQN,run_00,188.729166625,40.430174429670004,166.75416662499998,81.04113473403191,396.25832799996715
DQN,run_05,157.862500125,50.965670415605764,141.96666675,44.316253082688405,1510.7048398999032
PPO,run_08,171.39583325,33.52923041552906,145.979166625,58.30110296663384,583.2656159999315
PPO,run_03,145.54166662499998,58.56950227849554,154.5458335,56.374090036866434,705.5527372000506
PPO,run_07,134.45416662499997,60.033696356542244,135.483333375,53.061625679028985,627.7584042999661
REINFORCE,run_04,-54.09166666666668,2.400448453472348,,,210.58791460003704
REINFORCE,run_06,-55.000000000000014,3.4136978971978866,,,140.13355589995626
REINFORCE,run_00,-56.562500000000014,3.922033114342606,,,40.597204200108536
